127.0.0.1 - - [18/Oct/2023:18:30:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:30:56 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:30:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:31:26 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:31:39 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:31:43 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:31:50 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:32:03 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:34:00 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:34:11 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:34:19 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [18/Oct/2023:18:37:09 +0900] "GET /Exercise/Chp2/test.jsp HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:15:46 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:16:36 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:16:49 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:16:56 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:17:52 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:17:56 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:18:02 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:19:02 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2848
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:20:27 +0900] "GET /Exercise/ch04/test.jsp HTTP/1.1" 500 2808
